Post code,Municipality code
5571,91013
5080,92141
5543,91142
3581,71004
3583,71004
3590,71011
3640,72018
3717,73028
3891,71017
3980,71057
8553,34042
6870,84059
7504,57081
7822,51004
1401,25072
1460,25044
2640,11029
2382,13035
2310,13037
2547,11025
2845,11030
2060,11002
2627,11038
2381,13035
2150,11007
2387,13002
3472,24054
3272,24134
3212,24066
1640,23101
3450,24028
1540,23032
9473,41011
9112,46021
9031,44021
9308,41002
4730,63061
4632,62099
4351,64063
4480,61080
4910,63076
7510,57081
7020,53053
6534,56078
7860,51069
7330,53070
7864,51069
7100,58001
6531,56078
3722,73040
8550,34042
8691,38002
8700,37015
8760,37007
6840,84043
6983,83031
6987,83044
3120,24109
1541,23032
3270,24134
5351,92097
5540,91142
5550,91143
3582,71004
3850,71045
8480,35006
8570,34002
8830,36006
8978,33021
3300,24107
3401,24059
3210,24066
1501,23027
1950,23099
9771,45068
9190,46024
9051,44021
9700,45035
9770,45068
4181,61024
4342,62006
4161,61079
4650,63035
4257,64008
6210,52075
7802,51004
6200,52012
7000,53053
7021,53053
1033,21015
1006,21004
1043,21015
1060,21013
1300,25112
2170,11002
2630,11001
7711,57096
6210,52075
7190,55050
1120,21004
1150,21019
1320,25005
1331,25091
1348,25068
1404,25072
2520,11035
2490,13003
2530,11004
2270,13012
5621,93022
5640,92087
5537,91005
5020,92094
5377,91120
5081,92141
3501,71022
3620,73042
3950,72003
8850,37020
6821,85011
6834,84010
6852,84050
6853,84050
6997,83013
1654,23003
3118,24094
1653,23003
9270,42010
9290,42003
9681,45064
4761,63012
4140,62100
4877,63057
4670,62119
4750,63013
4780,63067
4051,62022
4652,63035
7740,57062
6221,52021
7942,51012
7332,53070
7010,53053
6500,56005
6250,52074
7624,57093
7611,57072
7130,58002
6560,56022
5560,91072
5363,91059
5600,93056
5641,92087
5501,91034
5651,93088
5030,92142
5150,92045
3660,72042
8610,32011
8755,37012
6630,81013
6660,82014
6781,81015
6813,85007
6920,84075
1820,23081
1502,23027
3370,24016
1852,23025
1700,23016
9860,44052
9790,45061
9570,45063
4458,62060
4031,62063
4650,63035
4560,61012
4770,63001
6110,52048
7034,53053
6532,56078
6530,56078
7604,57064
7500,57081
7333,53070
7803,51004
6594,56051
7910,51065
6120,56086
7506,57081
7783,57097
1200,21018
1049,21006
1370,25048
2590,12002
2431,13053
2801,12025
6769,85024
6044,52011
6030,52011
1780,23102
9402,41048
9920,44085
9185,44073
9030,44021
9140,46025
4141,62100
4570,61039
6464,56016
7861,51069
7131,58002
7134,58002
6181,52015
7382,53068
7301,53014
6230,52055
1130,21004
1410,25110
1474,25031
2350,13046
2870,12041
2360,13031
5364,91059
5001,92094
5000,92094
3530,72039
3580,71004
3742,73006
3791,73109
3798,73109
8460,35014
8582,34003
8640,33041
8690,38002
8791,34040
8880,36010
6600,82003
6688,82005
6692,82032
6980,83031
1860,23050
1650,23003
1742,23086
8370,31004
8430,35011
8680,32010
8740,37011
8900,33011
6662,82014
6672,82037
6860,84033
6970,83049
1831,23047
3320,24041
5500,91034
5022,92094
5541,91142
5542,91142
5520,91103
3550,71070
