Postcode;Locality;Municipality;Province;
1000;Brussel;BRUSSEL;Brussel;
1020;Laken;BRUSSEL;Brussel;
1030;Schaarbeek;SCHAARBEEK;Brussel;
1040;Etterbeek;ETTERBEEK;Brussel;
1050;Elsene;ELSENE;Brussel;
1060;Sint-Gillis;SINT-GILLIS;Brussel;
1070;Anderlecht;ANDERLECHT;Brussel;
1080;Sint-Jans-Molenbeek;SINT-JANS-MOLENBEEK;Brussel;
1081;Koekelberg;KOEKELBERG;Brussel;
1082;Sint-Agatha-Berchem;SINT-AGATHA-BERCHEM;Brussel;
1083;Ganshoren;GANSHOREN;Brussel;
1090;Jette;JETTE;Brussel;
1120;Neder-Over-Heembeek;BRUSSEL;Brussel;
1130;Haren;BRUSSEL;Brussel;
1140;Evere;EVERE;Brussel;
1150;Sint-Pieters-Woluwe;SINT-PIETERS-WOLUWE;Brussel;
1160;Oudergem;OUDERGEM;Brussel;
1170;Watermaal-Bosvoorde;WATERMAAL-BOSVOORDE;Brussel;
1180;Ukkel;UKKEL;Brussel;
1190;Vorst;VORST;Brussel;
1200;Sint-Lambrechts-Woluwe;SINT-LAMBRECHTS-WOLUWE;Brussel;
1210;Sint-Joost-ten-Node;SINT-JOOST-TEN-NODE;Brussel;
1300;Limal;WAVRE;Waals Brabant;
1300;Wavre;WAVRE;Waals Brabant;
1301;Bierges;WAVRE;Waals Brabant;
1310;La Hulpe;LA HULPE;Waals Brabant;
1315;Glimes;INCOURT;Waals Brabant;
1315;Incourt;INCOURT;Waals Brabant;
1315;Opprebais;INCOURT;Waals Brabant;
1315;Piétrebais;INCOURT;Waals Brabant;
1315;Roux-Miroir;INCOURT;Waals Brabant;
1320;Beauvechain;BEAUVECHAIN;Waals Brabant;
1320;Hamme-Mille;BEAUVECHAIN;Waals Brabant;
1320;l'Écluse;BEAUVECHAIN;Waals Brabant;
1320;Nodebais;BEAUVECHAIN;Waals Brabant;
1320;Tourinnes-la-Grosse;BEAUVECHAIN;Waals Brabant;
1325;Bonlez;CHAUMONT-GISTOUX;Waals Brabant;
1325;Chaumont-Gistoux;CHAUMONT-GISTOUX;Waals Brabant;
1325;Corroy-le-Grand;CHAUMONT-GISTOUX;Waals Brabant;
1325;Dion-Valmont;CHAUMONT-GISTOUX;Waals Brabant;
1325;Longueville;CHAUMONT-GISTOUX;Waals Brabant;
1330;Rixensart;RIXENSART;Waals Brabant;
1331;Rosières;RIXENSART;Waals Brabant;
1332;Genval;RIXENSART;Waals Brabant;
1340;Ottignies;OTTIGNIES-LOUVAIN-LA-NEUVE;Waals Brabant;
1341;Céroux-Mousty;OTTIGNIES-LOUVAIN-LA-NEUVE;Waals Brabant;
1342;Limelette;OTTIGNIES-LOUVAIN-LA-NEUVE;Waals Brabant;
1348;Louvain-la-Neuve;OTTIGNIES-LOUVAIN-LA-NEUVE;Waals Brabant;
1350;Enines;ORP-JAUCHE;Waals Brabant;
1350;Folx-les-Caves;ORP-JAUCHE;Waals Brabant;
1350;Jandrain-Jandrenouille;ORP-JAUCHE;Waals Brabant;
1350;Jauche;ORP-JAUCHE;Waals Brabant;
1350;Marilles;ORP-JAUCHE;Waals Brabant;
1350;Noduwez;ORP-JAUCHE;Waals Brabant;
1350;Orp-le-Grand;ORP-JAUCHE;Waals Brabant;
1357;Linsmeau;HÉLÉCINE;Waals Brabant;
1357;Neerheylissem;HÉLÉCINE;Waals Brabant;
1357;Opheylissem;HÉLÉCINE;Waals Brabant;
1360;Malèves-Sainte-Marie-Wastinnes;PERWEZ;Waals Brabant;
1360;Orbais;PERWEZ;Waals Brabant;
1360;Perwez;PERWEZ;Waals Brabant;
1360;Thorembais-les-Béguines;PERWEZ;Waals Brabant;
1360;Thorembais-Saint-Trond;PERWEZ;Waals Brabant;
1367;Autre-Eglise;RAMILLIES;Waals Brabant;
1367;Bomal;RAMILLIES;Waals Brabant;
1367;Geest-Gérompont-Petit-Rosière;RAMILLIES;Waals Brabant;
1367;Gérompont;RAMILLIES;Waals Brabant;
1367;Grand-Rosière-Hottomont;RAMILLIES;Waals Brabant;
1367;Huppaye;RAMILLIES;Waals Brabant;
1367;Mont-Saint-André;RAMILLIES;Waals Brabant;
1367;Ramillies;RAMILLIES;Waals Brabant;
1370;Dongelberg;JODOIGNE;Waals Brabant;
1370;Jauchelette;JODOIGNE;Waals Brabant;
1370;Jodoigne;JODOIGNE;Waals Brabant;
1370;Jodoigne-Souveraine;JODOIGNE;Waals Brabant;
1370;Lathuy;JODOIGNE;Waals Brabant;
1370;Mélin;JODOIGNE;Waals Brabant;
1370;Piétrain;JODOIGNE;Waals Brabant;
1370;Saint-Jean-Geest;JODOIGNE;Waals Brabant;
1370;Saint-Remy-Geest;JODOIGNE;Waals Brabant;
1370;Zétrud-Lumay;JODOIGNE;Waals Brabant;
1380;Couture-Saint-Germain;LASNE;Waals Brabant;
1380;Lasne-Chapelle-Saint-Lambert;LASNE;Waals Brabant;
1380;Maransart;LASNE;Waals Brabant;
1380;Ohain;LASNE;Waals Brabant;
1380;Plancenoit;LASNE;Waals Brabant;
1390;Archennes;GREZ-DOICEAU;Waals Brabant;
1390;Biez;GREZ-DOICEAU;Waals Brabant;
1390;Bossut-Gottechain;GREZ-DOICEAU;Waals Brabant;
1390;Grez-Doiceau;GREZ-DOICEAU;Waals Brabant;
